entity_key,parent_key,parent_name,method,confidence,group_size
1 DAY TRANSPORTATION LLC,1 DAY TRANSPORTATION LLC,1 DAY TRANSPORTATION LLC,parent,singleton,1
1 FAMILY CLINIC LLC,1 FAMILY CLINIC LLC,1 FAMILY CLINIC LLC,parent,singleton,1
1 TO 1 TUTORING,1 TO 1 TUTORING,1 TO 1 TUTORING,parent,singleton,1
100 CLUB OF ARIZONA,100 CLUB OF ARIZONA,100 CLUB OF ARIZONA,parent,singleton,1
1000 - FLORENCE-GLOBE - INMATE TRUST ACCOUNT,1000 - FLORENCE-GLOBE - INMATE TRUST ACCOUNT,1000 - FLORENCE-GLOBE - INMATE TRUST ACCOUNT,parent,singleton,1
1200 - LEWIS - INMATE TRUST ACCOUNT,1200 - LEWIS - INMATE TRUST ACCOUNT,1200 - LEWIS - INMATE TRUST ACCOUNT,parent,singleton,1
1475 NORTH GRANITE REEF ROAD LLC,1475 NORTH GRANITE REEF ROAD LLC,1475 NORTH GRANITE REEF ROAD LLC,parent,singleton,1
15847101 SMITH,15847101 SMITH,15847101 SMITH,parent,singleton,1
163RD HAPPY VALLEY ROAD LLC,163RD HAPPY VALLEY ROAD LLC,163RD HAPPY VALLEY ROAD LLC,parent,singleton,1
19 ROOSEVELT PHASE 1B LLC,19 ROOSEVELT PHASE 1B LLC,19 ROOSEVELT PHASE 1B LLC,parent,singleton,1
1N10 INC,1N10 INC,1N10 INC,parent,singleton,1
1SPATIAL INC,1SPATIAL INC,1SPATIAL INC,parent,singleton,1
2 BE DIFFERENT,2 BE DIFFERENT,2 BE DIFFERENT,parent,singleton,1
2 LUV 1 ANOTHER WELLNESS,2 LUV 1 ANOTHER WELLNESS,2 LUV 1 ANOTHER WELLNESS,parent,singleton,1
22ND CENTURY TECHNOLOGIES INC,22ND CENTURY TECHNOLOGIES INC,22ND CENTURY TECHNOLOGIES INC,parent,singleton,1
23 NORTH LLC,23 NORTH LLC,23 NORTH LLC,parent,singleton,1
25TH & BELL LIHTC LLC,25TH & BELL LIHTC LLC,25TH & BELL LIHTC LLC,parent,singleton,1
