entity_key,display_name,n_txn,exposure,n_flagged,has_tier1,n_ids
STATE OF ARIZONA,STATE OF ARIZONA,10617,33329423796,4,0,2
NAME REDACTED,NAME REDACTED,50121,25366704845,46,1,847
MERCY CARE,MERCY CARE,6745,24710856789,0,0,2
"ARIZONA PHYSICIANS IPA, INC.","ARIZONA PHYSICIANS IPA, INC.",5915,24184656331,0,0,2
AHCCCS PAYMENTS TO DES (00110007),AHCCCS PAYMENTS TO DES (00110007),2164,23308535370,0,0,1
HEALTH NET ACCESS INC,HEALTH NET ACCESS INC,4435,13535341262,0,0,1
BANNER UNIVERSITY FAMILY CARE,BANNER UNIVERSITY FAMILY CARE,2648,10536634529,0,0,2
STEWARD HEALTH CHOICE ARIZONA INC,STEWARD HEALTH CHOICE ARIZONA INC,3000,9242160752,0,0,1
MERCY CARE PLAN - LTC,MERCY CARE PLAN - LTC,1340,7424976760,0,0,1
ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,1953,6911511041,85,1,11
MARICOPA COUNTY,MARICOPA COUNTY,11970,6674640477,72,1,19
CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS),CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS),1753,5466703788,0,0,1
"CARE 1ST HEALTH PLAN ARIZONA, INC.","CARE 1ST HEALTH PLAN ARIZONA, INC.",2332,5383990030,0,0,1
MERCY CARE PLAN,MERCY CARE PLAN,1530,4224945739,0,0,1
U S BANK NATIONAL ASSOCIATION,U S BANK NATIONAL ASSOCIATION,562,2917655906,18,0,1
UNIVERSITY OF ARIZONA (FINANCIAL SERVICES OFFICE),UNIVERSITY OF ARIZONA (FINANCIAL SERVICES OFFICE),961,2864215549,9,0,1
MERCY MARICOPA INTEGRATED CARE,MERCY MARICOPA INTEGRATED CARE,1008,2811355274,0,0,2
BLUE CROSS BLUE SHIELD OF AZ INC,BLUE CROSS BLUE SHIELD OF AZ INC,608,2762379774,0,0,2
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,78,2737669977,34,0,1
HEALTH CHOICE AZ,HEALTH CHOICE AZ,898,2617373585,0,0,1
"OPTUMRX PBM OF ILLINOIS, INC","OPTUMRX PBM OF ILLINOIS, INC",1493,2444459827,0,0,1
BANK OF AMERICA - AZ,BANK OF AMERICA - AZ,2094,2343656117,2080,0,1
MEDIMPACT HEALTHCARE SYSTEMS INC,MEDIMPACT HEALTHCARE SYSTEMS INC,1484,2297334478,6,0,2
"ARIZONA PHYSICIANS IPA\, INC.","ARIZONA PHYSICIANS IPA\, INC.",788,2260779721,0,0,2
NORTHERN ARIZONA UNIVERSITY,NORTHERN ARIZONA UNIVERSITY,1274,2186019453,30,0,4
BANNER UNIVERSITY CARE ADVANTAGE,BANNER UNIVERSITY CARE ADVANTAGE,395,2084522807,0,0,1
"BRIDGEWAY HEALTH SOLUTIONS OF ARIZONA, INC.","BRIDGEWAY HEALTH SOLUTIONS OF ARIZONA, INC.",634,1991242270,0,0,1
UNIVERSITY OF ARIZONA,UNIVERSITY OF ARIZONA,1275,1887316907,7,0,5
U S BANK NATIONAL ASSN,U S BANK NATIONAL ASSN,190,1879391713,10,0,1
