vid,payee,usd_tier1,n_tier1,n_tier2,max_risk_score,agencies_served,first_year_seen,markers
IV0000039519,NAPHCARE INC,981916190,88,76,27.0,1,2023,"sole_source,whole_dollar,peer_outlier,new_vendor_large,true_duplicate"
IV0000034229,PULICE - FNF - FLATIRON JOINT VENTURE,472512963,43,17,11.7,1,2021,"offcontract,no_contract_named,peer_outlier,whole_dollar,new_vendor_large"
PZ000051407,CONNECT 202 PARTNERS,310225319,21,5,9.1,1,2016,"offcontract,no_contract_named,peer_outlier,whole_dollar"
IV0000053764,KIEWIT-FANN JOINT VENTURE,260813673,42,9,16.9,1,2023,"offcontract,no_contract_named,new_vendor_large,peer_outlier,whole_dollar"
IV0000046838,ASHBRITT INC,194730663,15,0,27.0,1,2023,"new_vendor_large,peer_outlier,new_vendor_dominant,short_tenure_vendor,sole_source"
PZ000001945,SECURITY TITLE AGENCY INC,136584671,24,77,11.7,1,2016,"offcontract,whole_dollar,no_contract_named,peer_outlier,round_100k"
IV0000002317,FNF CONSTRUCTION INC,77524854,16,24,7.8,1,2021,"offcontract,no_contract_named,whole_dollar,peer_outlier,round_100k"
IV0000039359,VIZIENT INC,72080770,19,10,12.0,1,2021,"new_vendor_large,short_tenure_vendor,peer_outlier"
IV0000000572,SECURITY TITLE AGENCY INC,71608957,16,79,14.3,1,2021,"offcontract,whole_dollar,no_contract_named,true_duplicate,peer_outlier"
VC0000069791,GBC PROPERTIES LLC,71182163,5,1,14.3,1,2024,"offcontract,no_contract_named,peer_outlier,whole_dollar"
IV0000023826,COFFMAN AMES JOINT VENTURE,65732589,9,1,7.8,1,2021,"offcontract,no_contract_named,peer_outlier,whole_dollar"
IV0000006558,FISHER SAND AND GRAVEL CO,65474192,10,8,7.8,1,2021,"offcontract,no_contract_named,peer_outlier,whole_dollar"
IV0000012155,CENTURION OF ARIZONA LLC,51216852,7,3,12.0,2,2021,"offcontract,true_duplicate,no_contract_named,june_round,whole_dollar"
IV0000000009,GRANITE CONSTRUCTION CO,50516007,9,10,13.5,1,2021,"offcontract,no_contract_named,whole_dollar,peer_outlier"
IV0000005722,PUBLIC CONSULTING GROUP INC,44251482,12,0,9.0,1,2023,"offcontract,peer_outlier,no_contract_named"
