fiscal_year,agency,total_revenue,federal_revenue,federal_dependency_pct
2016,DEPT OF REVENUE,8395339554.0100,,
2016,MEDICAL BOARD,7450175.3100,,
2016,AUTOMOBILE THEFT AUTHORITY,6185637.8800,,
2017,DEPT OF HEALTH SERVICES,379674446.1700,253052634.5900,66.64989891805759
2017,BOARD OF ACCOUNTANCY,2025208.9700,,
2017,RETIREE ACCUMULATED SICK LEAVE,14381964.8000,,
2017,BOARD OF FINGERPRINTING,1031709.0000,,
2017,BOARD OF HOMEOPATHIC EXAMINERS,84710.0000,,
2017,PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,11057797.7200,,
2017,PIONEERS' HOME,10272531.3500,,
2017,PARENTS COMMISSION DRUG EDU,4605028.1900,,
2018,DEPT OF ADMINISTRATION,1216147834.4500,1498471.9300,0.12321461976517685
2018,BOARD OF OSTEOPATHIC EXAMINERS,1194984.8300,,
2019,GOVERNOR'S OFFICE OF HIGHWAY SAFETY,10589513.3700,8816749.1500,83.25924753990844
2019,BOARD OF TECHNICAL REGISTRATION,3192941.0200,,
2019,BOARD OF REGENTS,193147369.2300,,
2020,CRIMINAL JUSTICE COMMISSION,29218826.3700,17121092.0000,58.5960975406556
2020,AUDITOR GENERAL,992924.0500,,
2020,COMMISSION FOR DEAF AND HARD OF HEARING,3532769.9900,,
2020,AFRICAN-AMERICAN AFFAIRS,3050.0000,,
2021,DEPT OF FORESTRY AND FIRE MANAGEMENT,62970477.9900,33887544.9100,53.814971700518925
2021,DEPT OF CORRECTIONS,133021093.5800,102545.7400,0.07708983383024748
2021,LAND DEPARTMENT,10847684.8200,,
2021,BOARD OF PHYSICAL THERAPY,1192730.3300,,
2021,COMMISSION FOR POSTSECONDARY EDUCATION,2216820.8500,,
2021,COURT OF APPEALS DIV II,22125.7800,,
2021,VETERINARY MEDICAL EXAMINING BOARD,208743.3300,,
2023,DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS,815588645.5000,120034.2900,0.014717503813017466
2023,REAL ESTATE DEPARTMENT,3875397.5600,,
2023,GOVERNOR'S OFFICE,76132557.2900,43593484.8300,57.25997704759353
2023,COURT OF APPEALS,165404.0400,,
2023,BOARD OF FUNERAL DIRECTORS AND EMBALMERS,581128.7700,,
2024,ACUPUNCTURE BOARD OF EXAMINERS,213844.4800,,
2024,BOARD OF DENTAL EXAMINERS,2124295.0800,,
2024,STATEWIDE SYSTEMS PROCESSING,1076979994.7400,,
2024,DEPT OF JUVENILE CORRECTIONS,13141215.7500,,
2024,SCHOOLS FOR THE DEAF AND THE BLIND,40653643.8000,1552320.4900,3.8184043173025493
2024,BOARD FOR CHARTER SCHOOLS,58641.6000,,
2024,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,47550.0000,,
2025,DEPT OF REVENUE,14533269215.6400,,
2025,MEDICAL BOARD,10972404.7100,,
2025,OFFICE OF ECONOMIC OPPORTUNITY,17060337.3100,10367084.6700,60.76717289712252
2017,COMMISSION ON THE ARTS,4061573.8200,833000.0000,20.509291149606632
2019,OFFICE OF TOURISM,26946302.2100,,
2020,COMPANION ANIMAL SPAY/NEUTER COMMITTEE,369489.2700,,
2018,NAVIGABLE STREAM ADJUDICATION COMMISSION,200000.0000,,
2024,BOARD OF EXECUTIVE CLEMENCY,28009.9700,,
2016,BOARD OF EQUALIZATION,12243.2500,,
2025,BOARD OF EQUALIZATION,8153.6900,,
2016,INDUSTRIAL COMMISSION,27836782.3600,2744424.9700,9.858987775625947
2016,BOARD OF PSYCHOLOGIST EXAMINERS,146436.6600,,
2016,BOARD OF ATHLETIC TRAINING,151859.0000,,
2016,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,286098.7900,,
2017,DEPT OF WATER RESOURCES,21926868.0100,424610.9100,1.9364868243214275
2017,BOARD OF NURSING,6124178.1100,,
2017,BOARD OF BARBERS,448214.0000,,
2017,CITIZENS CLEAN ELECTION COMMISSION,7531989.5300,,
2017,ARIZONA HISTORICAL SOCIETY,1178603.9600,,
2017,"DEPT OF FIRE, BUILDING AND LIFE SAFETY",-9533888.5700,,
2018,CRIMINAL JUSTICE COMMISSION,17276758.1900,3391804.4100,19.63218083334186
2018,AUDITOR GENERAL,1945270.6800,,
2018,COMMISSION FOR DEAF AND HARD OF HEARING,4945173.9900,,
2019,DEPT OF FINANCIAL INSTITUTIONS,15470312.0700,,
2019,DEPT OF VETERANS SERVICES,45626203.6000,822254.0800,1.8021531819929897
2019,BOARD OF RESPIRATORY CARE EXAMINERS,371778.1500,,
2019,BOARD OF MASSAGE THERAPY,655394.3400,,
2019,COTTON RESEARCH AND PROTECTION COUNCIL,5434278.3500,822876.0000,15.142323359273638
2019,ARIZONA STATE RETIREMENT SYSTEM (ASRS),90299478.1800,,
2020,DEPT OF ADMINISTRATION,1188429142.2000,889475.4500,0.07484463468755218
2020,BOARD OF OSTEOPATHIC EXAMINERS,1370489.6300,,
2021,STATEWIDE SYSTEMS PROCESSING,332052385.3800,0.0000,0.0
2021,SCHOOLS FOR THE DEAF AND THE BLIND,34736031.8800,1244227.5500,3.5819507372009007
2021,DEPT OF JUVENILE CORRECTIONS,14427913.9600,,
2021,BOARD OF DENTAL EXAMINERS,616438.7500,,
2021,ACUPUNCTURE BOARD OF EXAMINERS,119602.7200,,
2023,CORPORATION COMMISSION,96555709.8000,1580251.2800,1.6366212658715291
2023,ATTORNEY GENERAL (DEPT OF LAW),301606462.3800,5991167.8200,1.986418915802808
2023,DEPT OF CHILD SAFETY,805705694.6700,572858854.5200,71.1002613373151
2023,DEPT OF EDUCATION,4082957116.0900,2406242695.3800,58.93382239792693
2023,DEPT OF ENVIRONMENTAL QUALITY,151386606.0900,20322174.6300,13.424024195323051
2023,BOARD OF OPTOMETRY,346497.3700,,
2023,MINE INSPECTOR,497109.6000,388627.8100,78.17749043671658
2023,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,163238165.4600,2938084.0000,1.7998756551328372
2023,DEPT OF HOMELAND SECURITY,36779157.7800,24848857.7800,67.56233497416427
2023,BOARD OF DISPENSING OPTICIANS,179030.3400,,
2023,EXPOSITION AND STATE FAIR BOARD,23033755.2700,,
2023,PERSONNEL BOARD,657528.4900,,
2024,DEPT OF CORRECTIONS,199795483.1500,11243187.3900,5.627348132569632
2024,LAND DEPARTMENT,6830017.9600,,
2024,DEPT OF FORESTRY AND FIRE MANAGEMENT,74218285.9600,34575965.1100,46.586854792947854
2024,BOARD OF PHYSICAL THERAPY,180638.6900,,
2024,VETERINARY MEDICAL EXAMINING BOARD,263224.7000,,
2025,INDUSTRIAL COMMISSION,85355014.3800,3067180.3500,3.5934389704920346
2025,BOARD OF PSYCHOLOGIST EXAMINERS,1007364.6100,,
2025,BARBERING AND COSMETOLOGY BOARD,2730985.1800,,
2025,CONSTABLE ETHICS STANDARDS AND TRAINING BOARD,434993.8500,,
2025,BOARD OF OCCUPATIONAL THERAPY EXAMINERS,364610.0800,,
2025,RESIDENTIAL UTILITY CONSUMER OFFICE,1353585.4300,,
2025,BOARD OF ATHLETIC TRAINING,186671.7900,,
2018,AFRICAN-AMERICAN AFFAIRS,10625.0000,,
2024,COURT OF APPEALS DIV II,42394.7600,,
2019,OFFICE OF EQUAL OPPORTUNITY,190700.0000,,
2021,BOARD OF EXECUTIVE CLEMENCY,30100.0000,,
2021,GOVERNOR'S OFFICE ON TRIBAL RELATIONS,15700.0000,,
2018,WATER INFRASTRUCTURE FINANCE AUTHORITY,3805.6800,,
2021,BOARD FOR CHARTER SCHOOLS,257500.0000,,
2016,RESIDENTIAL UTILITY CONSUMER OFFICE,1158356.2800,,
2020,NAVIGABLE STREAM ADJUDICATION COMMISSION,400000.0000,,
2016,AHCCCS,10530571047.7800,8592904065.1200,81.59960201713382
2016,GAME AND FISH DEPARTMENT,116669955.2600,38839758.2000,33.29028292969279
