vendor_id_code,payee,agency,fiscal_year,transaction_reference_id,amount,distinct_txns,day_span,first_date,last_date,exposure,severity,status,confidence
78432301,EMPOWER EMERGENCY PHYS.,AHCCCS,2018,GAXCMHCAPMMS18001006,39.7400,2,2,2017-09-11,2017-09-13,39.7400,low,unreviewed,medium
24196101,MOUNTAIN VISTA MED CTR,AHCCCS,2018,GAXCMHCAPMMS18004572,517.6700,2,9,2018-06-11,2018-06-20,517.6700,low,unreviewed,medium
00010497,STEWARD HEALTH CHOICE ARIZONA INC,AHCCCS,2021,GAXCMHCAPMMS21001435,1064.5100,2,2,2020-10-05,2020-10-07,1064.5100,low,unreviewed,medium
CH0109224,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001842378,234.3600,2,5,2021-02-04,2021-02-09,234.3600,low,unreviewed,medium
00010254,"CARE 1ST HEALTH PLAN ARIZONA, INC.",AHCCCS,2021,GAXCMHCAPMMS21001464,78.7200,2,2,2020-10-06,2020-10-08,78.7200,low,unreviewed,medium
CH0122869,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001878864,22.1200,2,62,2021-03-05,2021-05-06,22.1200,low,unreviewed,medium
CH0090985,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001931963,449.9400,2,5,2021-05-05,2021-05-10,449.9400,low,unreviewed,medium
CH0131377,NAME REDACTED,DEPT OF CHILD SAFETY,2021,GAXNECHAPY001938920,449.9400,4,6,2021-05-12,2021-05-18,1349.8200,low,unreviewed,medium
CH0114749,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002413611,290.2800,2,6,2022-08-04,2022-08-10,290.2800,low,unreviewed,medium
00010789,MERCY MARICOPA INTEGRATED CARE,AHCCCS,2023,GAXCMHCAPMMS23000473,573.7200,2,329,2022-08-05,2023-06-30,573.7200,low,unreviewed,medium
CH0142834,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002566549,290.8800,2,28,2023-01-19,2023-02-16,290.8800,low,unreviewed,medium
15830301,PURE CARE BEHAVIORAL HEAL,AHCCCS,2023,GAXNEHCAPMMS23123640,4209.3000,2,51,2023-03-08,2023-04-28,4209.3000,low,unreviewed,medium
CH0064272,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002647267,310.4100,2,3,2023-04-10,2023-04-13,310.4100,low,unreviewed,medium
90527301,MATERNAL CHILD HLTH PRGM,AHCCCS,2023,GAXCMHCAPMMS23004024,654.0000,2,18,2023-04-08,2023-04-26,654.0000,low,unreviewed,medium
CH0138791,NAME REDACTED,DEPT OF CHILD SAFETY,2023,GAXNECHAPY002654202,34.5800,2,35,2023-04-19,2023-05-24,34.5800,low,unreviewed,medium
IV0000062102,CODEX CORPORATION,DEPT OF CORRECTIONS,2023,GAEIV1DCAPO0000498672,1333.2900,4,102,2023-03-17,2023-06-27,3999.8700,low,unreviewed,medium
CH0049458,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002755371,259.3200,3,12,2023-08-04,2023-08-16,518.6400,low,unreviewed,medium
00110306,MERCY CARE PLAN - LTC,AHCCCS,2024,GAXCMHCAPMMS24000600,587.8800,2,3,2023-07-31,2023-08-03,587.8800,low,unreviewed,medium
CH0140534,NAME REDACTED,DEPT OF CHILD SAFETY,2024,GAXNECHAPY002840527,305.6600,2,30,2023-11-06,2023-12-06,305.6600,low,unreviewed,medium
12196301,"GILA VALLEY CLINIC, P.C.",AHCCCS,2024,GAXCMHCAPMMS24004769,58.8800,2,23,2024-03-18,2024-04-10,58.8800,low,unreviewed,medium
