agency,under_5k,over_5k,ratio_5k,under_10k,over_10k,ratio_10k
DEPT OF ADMINISTRATION,2779,2671,1.04,2092,1959,1.07
INDUSTRIAL COMMISSION,617,595,1.04,407,290,1.4
ATTORNEY GENERAL (DEPT OF LAW),1724,1633,1.06,1121,1115,1.01
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,762,717,1.06,632,735,0.86
DEPT OF CHILD SAFETY,13464,12830,1.05,7818,7267,1.08
CORPORATION COMMISSION,507,446,1.14,389,343,1.13
DEPT OF EDUCATION,5649,5850,0.97,5160,5699,0.91
DEPT OF ENVIRONMENTAL QUALITY,1955,1802,1.08,1093,1022,1.07
AHCCCS,24778,22633,1.09,17760,16579,1.07
GAME AND FISH DEPARTMENT,2148,2120,1.01,936,955,0.98
DEPT OF REVENUE,1092,1082,1.01,984,801,1.23
GOVERNOR'S OFFICE,702,639,1.1,728,1022,0.71
DEPT OF VETERANS SERVICES,1301,736,1.77,395,442,0.89
ARIZONA STATE RETIREMENT SYSTEM (ASRS),644,683,0.94,515,523,0.98
DEPT OF HEALTH SERVICES,4786,4758,1.01,3213,3162,1.02
SCHOOLS FOR THE DEAF AND THE BLIND,1014,1045,0.97,750,697,1.08
DEPT OF JUVENILE CORRECTIONS,587,598,0.98,429,403,1.06
HOUSE OF REPRESENTATIVES,457,347,1.32,85,113,0.75
DEPT OF WATER RESOURCES,429,411,1.04,235,243,0.97
DEPT OF ECONOMIC SECURITY,28726,27415,1.05,18389,17007,1.08
DEPT OF EMERGENCY AND MILITARY AFFAIRS,1091,960,1.14,774,619,1.25
DEPT OF PUBLIC SAFETY,3671,3537,1.04,2848,2469,1.15
SUPREME COURT,1342,1144,1.17,1021,1178,0.87
PARKS BOARD,641,536,1.2,495,433,1.14
DEPT OF HOUSING,617,986,0.63,575,627,0.92
DEPT OF AGRICULTURE,555,553,1.0,301,296,1.02
DEPT OF TRANSPORTATION,9978,9520,1.05,7238,6677,1.08
SECRETARY OF STATE (DEPT OF STATE),375,376,1.0,166,227,0.73
SENATE,341,217,1.57,139,177,0.79
DEPT OF CORRECTIONS,9390,8954,1.05,6280,5925,1.06
DEPT OF FORESTRY AND FIRE MANAGEMENT,689,652,1.06,529,461,1.15
LAND DEPARTMENT,343,351,0.98,356,303,1.17
