agency,cabinet,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier2,usd_tier2,n_tier3,n_flagged,tier12_exposure,tier12_pct_of_hv,avg_risk_score,max_risk_score,distinct_flagged_vendors,top_markers
DEPT OF TRANSPORTATION,TRANSPORTATION,21592,31457892465,398,2291538999,1515,1829291539,8536,10449,4120830538,13.1,1.968,21.0,552,offcontract|manual_rail_disc|whole_dollar|no_contract_named|peer_outlier
DEPT OF CORRECTIONS,PROTECTION AND SAFETY,19681,8384575259,142,1205456144,800,908633738,2667,3609,2114089882,25.21,0.838,27.0,115,whole_dollar|manual_rail|offcontract|manual_rail_disc|true_duplicate
DEPT OF HEALTH SERVICES,HEALTH AND WELFARE,10724,11380274002,80,247518787,657,434249256,1431,2168,681768043,5.99,1.036,19.5,130,manual_rail_disc|whole_dollar|manual_rail|new_vendor_large|offcontract
DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROTECTION AND SAFETY,1513,1511845313,25,214893401,59,118656758,239,323,333550159,22.06,1.222,27.0,56,whole_dollar|manual_rail_disc|offcontract|new_vendor_large|manual_rail
AHCCCS,HEALTH AND WELFARE,81561,183228529869,45,190974677,211,90715662,1779,2035,281690339,0.15,0.107,12.0,42,manual_rail_disc|offcontract|manual_rail|whole_dollar|true_duplicate
ARIZONA STATE RETIREMENT SYSTEM (ASRS),GENERAL GOVERNMENT,1134,468691853,118,188412011,581,197508172,116,815,385920183,82.34,4.23,14.0,21,manual_rail_disc|whole_dollar|new_vendor_large|round_100k|true_duplicate
DEPT OF EDUCATION,EDUCATION,29484,42856367577,58,143969419,225,102339092,400,683,246308511,0.57,0.129,16.5,118,whole_dollar|manual_rail_disc|round_100k|new_vendor_large|manual_rail
DEPT OF ECONOMIC SECURITY,HEALTH AND WELFARE,62223,39988674274,48,107523472,610,731407149,4206,4864,838930621,2.1,0.281,15.0,109,offcontract|manual_rail|manual_rail_disc|whole_dollar|new_vendor_large
DEPT OF WATER RESOURCES,NATURAL RESOURCES,366,409068694,25,96618327,84,46052701,110,219,142671028,34.88,3.345,26.6,35,offcontract|manual_rail_disc|whole_dollar|manual_rail|peer_outlier
DEPT OF ADMINISTRATION,GENERAL GOVERNMENT,12515,15272432900,40,80987524,321,849088345,2047,2408,930075869,6.09,0.839,18.0,243,offcontract|manual_rail_disc|whole_dollar|new_vendor_large|round_100k
DEPT OF PUBLIC SAFETY,PROTECTION AND SAFETY,7765,4066070105,14,38667890,164,119257201,1566,1744,157925091,3.88,0.931,15.6,97,manual_rail_disc|manual_rail|offcontract|whole_dollar|new_vendor_large
DEPT OF CHILD SAFETY,HEALTH AND WELFARE,16036,10780659337,15,36773949,239,134362240,1443,1697,171136189,1.59,0.401,15.0,99,manual_rail_disc|manual_rail|offcontract|whole_dollar|true_duplicate
ATTORNEY GENERAL (DEPT OF LAW),GENERAL GOVERNMENT,1536,583170316,13,36331034,41,34763756,100,154,71094790,12.19,0.591,13.5,23,manual_rail_disc|whole_dollar|offcontract|peer_outlier|round_100k
EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,EDUCATION,2347,1017592355,4,34716341,337,127997320,98,439,162713661,15.99,1.035,15.0,15,manual_rail_disc|manual_rail|whole_dollar|offcontract|peer_outlier
DEPT OF VETERANS SERVICES,HEALTH AND WELFARE,706,209190946,21,31414975,60,45607087,184,265,77022062,36.82,1.827,13.5,18,manual_rail_disc|offcontract|whole_dollar|sole_source|no_contract_named
DEPT OF REVENUE,GENERAL GOVERNMENT,906,362927303,11,24089178,109,70796394,193,313,94885572,26.14,1.74,16.8,27,manual_rail_disc|whole_dollar|offcontract|round_100k|manual_rail
LOTTERY COMMISSION,GENERAL GOVERNMENT,5345,5159341786,3,16167600,167,630360308,2550,2720,646527908,12.53,1.856,12.6,19,manual_rail_disc|whole_dollar|new_vendor_large|offcontract|true_duplicate
OFFICE OF ECONOMIC OPPORTUNITY,GENERAL GOVERNMENT,146,65795828,6,11376571,69,19828949,29,104,31205521,47.43,5.082,19.5,19,offcontract|manual_rail_disc|whole_dollar|sole_source|vendor_dependency
SECRETARY OF STATE (DEPT OF STATE),GENERAL GOVERNMENT,271,94179078,6,9567000,38,17500854,75,119,27067853,28.74,2.413,10.5,12,manual_rail_disc|whole_dollar|peer_outlier|true_duplicate|manual_rail
LAND DEPARTMENT,NATURAL RESOURCES,146,101217314,1,7000000,64,24878926,51,116,31878926,31.5,5.204,28.0,17,manual_rail_disc|offcontract|whole_dollar|round_100k|masked_payee
PARKS BOARD,NATURAL RESOURCES,544,197931253,1,6018628,27,10558277,203,231,16576905,8.38,2.242,15.6,15,manual_rail_disc|masked_payee|whole_dollar|offcontract|manual_rail
GOVERNOR'S OFFICE,GENERAL GOVERNMENT,2865,3504024905,2,5229351,39,11703779,82,123,16933130,0.48,0.246,12.0,22,manual_rail_disc|whole_dollar|new_vendor_large|true_duplicate|short_tenure_vendor
DEPT OF FORESTRY AND FIRE MANAGEMENT,NATURAL RESOURCES,1037,368637937,3,5117534,32,12463621,124,159,17581155,4.77,0.76,11.2,29,whole_dollar|manual_rail_disc|offcontract|new_vendor_large|manual_rail
GAME AND FISH DEPARTMENT,NATURAL RESOURCES,805,274907138,3,5002159,58,23959373,164,225,28961532,10.54,1.43,14.3,43,manual_rail_disc|whole_dollar|offcontract|new_vendor_large|peer_outlier
OFFICE OF TOURISM,GENERAL GOVERNMENT,627,247019581,4,4677985,100,32734798,131,235,37412783,15.15,2.682,19.6,22,sole_source|whole_dollar|vendor_dependency|manual_rail_disc|offcontract
DEPT OF HOMELAND SECURITY,GENERAL GOVERNMENT,483,133908534,3,4543109,22,12939432,55,80,17482541,13.06,0.864,10.5,6,whole_dollar|sole_source|offcontract|manual_rail_disc|new_vendor_large
INDUSTRIAL COMMISSION,INSPECTION AND REGULATION,213,70692756,2,4323521,23,4411546,82,107,8735067,12.36,2.697,12.0,27,manual_rail_disc|offcontract|whole_dollar|peer_outlier|round_100k
BOARD OF NURSING,INSPECTION AND REGULATION,153,42569310,1,1933648,7,1818842,11,19,3752490,8.82,0.704,9.0,8,manual_rail_disc|new_vendor_large|true_duplicate|whole_dollar|manual_rail
SENATE,GENERAL GOVERNMENT,18,6839971,1,1500000,1,140829,11,13,1640829,23.99,4.544,16.8,2,manual_rail_disc|sole_source|whole_dollar|peer_outlier|round_100k
DEPT OF HOUSING,GENERAL GOVERNMENT,2334,924924288,1,1096000,5,929612,22,28,2025612,0.22,0.069,10.5,6,manual_rail_disc|whole_dollar|new_vendor_large|manual_rail|true_duplicate
BOARD OF CHIROPRACTIC EXAMINERS,INSPECTION AND REGULATION,1,500000,0,,0,,0,0,,,0.0,0.0,0,
COTTON RESEARCH AND PROTECTION COUNCIL,INSPECTION AND REGULATION,17,2764348,0,,2,242273,14,16,242273,8.76,2.788,6.0,2,manual_rail|whole_dollar|manual_rail_disc
PERSONNEL BOARD,GENERAL GOVERNMENT,15,3345492,0,,0,,0,0,,,0.0,0.0,0,
BOARD OF FUNERAL DIRECTORS AND EMBALMERS,INSPECTION AND REGULATION,3,1149790,0,,1,200000,0,1,200000,17.39,3.733,11.2,1,vendor_dependency|sole_source|round_100k
BOARD OF OPTOMETRY,INSPECTION AND REGULATION,1,387100,0,,0,,0,0,,,0.0,0.0,0,
DEPT OF LIQUOR LICENSES AND CONTROL,INSPECTION AND REGULATION,20,6765857,0,,2,225000,8,10,225000,3.33,2.67,9.0,3,manual_rail_disc|whole_dollar|new_vendor_large|offcontract
PUBLIC SAFETY PERSONNEL RETIREMENT SYSTEM,GENERAL GOVERNMENT,270,1176661874,0,,0,,12,12,,,0.124,2.8,1,
BOARD OF EXECUTIVE CLEMENCY,PROTECTION AND SAFETY,3,341300,0,,0,,3,3,,,5.6,5.6,0,manual_rail_disc
RETIREE ACCUMULATED SICK LEAVE,GENERAL GOVERNMENT,228,115991373,0,,0,,0,0,,,0.0,0.0,0,
PARENTS COMMISSION DRUG EDU,GENERAL GOVERNMENT,76,45193654,0,,0,,0,0,,,0.0,0.0,0,
DEPT OF INSURANCE,INSPECTION AND REGULATION,15,3299857,0,,5,598744,2,7,598744,18.14,2.747,6.0,0,manual_rail_disc
BOARD OF COSMETOLOGY,INSPECTION AND REGULATION,3,342600,0,,0,,3,3,,,5.6,5.6,0,manual_rail_disc
WATER INFRASTRUCTURE FINANCE AUTHORITY,HEALTH AND WELFARE,141,487136342,0,,0,,4,4,,,0.06,2.1,0,manual_rail
BOARD OF FINGERPRINTING,PROTECTION AND SAFETY,1,1200000,0,,0,,0,0,,,0.0,0.0,0,
AUDITOR GENERAL,GENERAL GOVERNMENT,412,79900088,0,,0,,25,25,,,0.223,5.6,3,whole_dollar|manual_rail|manual_rail_disc
SCHOOLS FOR THE DEAF AND THE BLIND,EDUCATION,766,119212529,0,,61,11608075,46,107,11608075,9.74,0.732,6.0,4,manual_rail_disc|manual_rail|offcontract|true_duplicate
MINE INSPECTOR,INSPECTION AND REGULATION,5,650276,0,,0,,4,4,,,4.48,5.6,0,manual_rail_disc
COMPANION ANIMAL SPAY/NEUTER COMMITTEE,GENERAL GOVERNMENT,3,988055,0,,0,,2,2,,,3.267,5.6,1,whole_dollar|vendor_dependency|sole_source
BOARD OF MEDICAL STUDENT LOANS,EDUCATION,9,6603936,0,,0,,0,0,,,0.0,0.0,0,
GEOLOGICAL SURVEY,NATURAL RESOURCES,3,489833,0,,0,,1,1,,,1.867,5.6,0,manual_rail_disc
STATE TREASURER,GENERAL GOVERNMENT,758,1185253789,0,,19,29300817,104,123,29300817,2.47,0.764,11.2,17,manual_rail_disc|offcontract|whole_dollar|new_vendor_large|manual_rail
COURT OF APPEALS,GENERAL GOVERNMENT,250,70842668,0,,1,110150,3,4,110150,0.16,0.063,6.0,0,manual_rail|manual_rail_disc
INDEPENDENT REDISTRICTING COMMISSION,GENERAL GOVERNMENT,6,748283,0,,3,328169,2,5,328169,43.86,4.5,6.0,5,vendor_dependency|sole_source|whole_dollar
BOARD OF BEHAVIORAL HEALTH EXAMINERS,INSPECTION AND REGULATION,1,4200000,0,,0,,0,0,,,0.0,0.0,0,
RESIDENTIAL UTILITY CONSUMER OFFICE,INSPECTION AND REGULATION,10,1442300,0,,0,,9,9,,,5.04,5.6,0,manual_rail_disc
UNIVERSITY OF ARIZONA,EDUCATION,1548,4290517951,0,,0,,43,43,,,0.078,2.8,2,
BOARD OF TECHNICAL REGISTRATION,INSPECTION AND REGULATION,15,8085882,0,,0,,11,11,,,4.0,5.6,1,manual_rail_disc|round_100k
CRIMINAL JUSTICE COMMISSION,PROTECTION AND SAFETY,345,96873140,0,,14,5373704,2,16,5373704,5.55,0.43,12.0,1,short_tenure_vendor|whole_dollar|round_100k|offcontract
BOARD OF ACCOUNTANCY,INSPECTION AND REGULATION,10,1320000,0,,1,250000,9,10,250000,18.94,5.64,6.0,0,manual_rail_disc|peer_outlier
