agency,fiscal_year,hv_txn,hv_exposure,n_tier1,usd_tier1,n_tier12,usd_tier12,tier12_pct_of_hv,avg_risk_score
AHCCCS,2016,6368,13279618101,0,,5,4467979,0.03,0.1
AHCCCS,2017,7460,14479883827,1,1565167,41,13153182,0.09,0.13
AHCCCS,2018,8304,15540873072,1,1571877,11,5320868,0.03,0.089
AHCCCS,2019,8281,16179726724,3,5549270,10,6540870,0.04,0.08
AHCCCS,2020,8266,17446642105,4,10749655,9,16938087,0.1,0.073
AHCCCS,2021,8832,21495587179,4,13137699,22,29119683,0.14,0.126
AHCCCS,2022,9972,27547278693,5,16655773,19,24219244,0.09,0.092
AHCCCS,2023,13225,28318166411,10,27691879,44,34915734,0.12,0.071
AHCCCS,2024,10620,27756899274,17,108855971,70,135124998,0.49,0.135
AHCCCS,2025,10205,28731133174,6,23670259,39,37310882,0.13,0.158
ARIZONA COMMERCE AUTHORITY,2016,24,119058302,0,,2,3000000,2.52,0.35
ARIZONA COMMERCE AUTHORITY,2017,20,23300000,0,,2,7000000,30.04,0.7
ARIZONA COMMERCE AUTHORITY,2018,18,17000000,0,,1,1500000,8.82,0.233
ARIZONA COMMERCE AUTHORITY,2019,25,26921000,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2020,35,25300000,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2021,29,25847864,0,,1,1500000,5.8,0.145
ARIZONA COMMERCE AUTHORITY,2022,30,30321652,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2023,48,129370094,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2024,60,147640000,0,,0,,,0.0
ARIZONA COMMERCE AUTHORITY,2025,32,14664947,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2017,59,95200493,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2018,67,234098967,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2019,65,100464822,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2020,95,163360937,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2021,103,367477575,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2022,128,170106286,0,,0,,,0.0
ARIZONA FINANCE AUTHORITY,2023,91,127040304,0,,0,,,0.0
ARIZONA HISTORICAL SOCIETY,2016,4,731833,0,,0,,,2.8
