fiscal_year,tier,n_txn,exposure
2016,1,82,323402385
2016,2,724,756896641
2016,3,2860,1854835749
2016,4,3983,26471564443
2016,5,20128,5468216723
2017,1,59,193534985
2017,2,708,575079332
2017,3,3044,1598290606
2017,4,3575,23207451231
2017,5,20204,5377787901
2018,1,84,424127498
2018,2,656,579252448
2018,3,3112,1535987286
2018,4,3918,23738180127
2018,5,20920,5545452867
2019,1,44,102280468
2019,2,417,869584729
2019,3,2133,1020808808
2019,4,3983,25210541953
2019,5,21783,5852460316
2020,1,64,237877660
2020,2,568,889803160
2020,3,3224,1851426723
2020,4,4235,29995050393
2020,5,23731,6335364498
2021,1,153,473387084
2021,2,986,771259337
2021,3,4131,2756287024
2021,4,4369,34750314807
2021,5,23810,6261597240
2022,1,158,593325047
2022,2,855,619854511
2022,3,3812,4761562099
2022,4,4781,43365530364
2022,5,26784,7230909390
2023,1,200,1069874311
2023,2,909,765182094
2023,3,3830,1663736491
2023,4,5325,43481144171
2023,5,32345,8663805244
2024,1,201,1254091751
2024,2,855,749317147
2024,3,4014,1688668043
2024,4,5998,51533689497
2024,5,33076,9125157329
2025,1,159,853768359
2025,2,983,809501512
2025,3,4221,1797491188
2025,4,5541,45924155206
2025,5,31259,8638516543
ALL,1,1204,5525669547
ALL,2,7661,7385730911
ALL,3,34381,20529094018
ALL,4,45708,347677622193
ALL,5,254040,68499268050
