appropriation,lead_agency,hv_txn,hv_exposure,n_tier1,tier12_exposure,max_risk_score,distinct_vendors
(no appropriation),DEPT OF PUBLIC SAFETY,60183,72365423122,108,2107016748,13.0,0
FEDERAL AID,DEPT OF TRANSPORTATION,6924,5258059416,210,1775351056,19.5,413
INMATE HEALTH CARE CONTRACTED SERVICES,DEPT OF CORRECTIONS,1006,1858967390,100,1132686256,27.0,6
M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,DEPT OF TRANSPORTATION,1325,1586635903,69,467280108,19.5,153
OPERATING LUMP SUM APPROPRIATION,DEPT OF REVENUE,7799,5112261946,15,326268960,16.8,370
PRIVATE PRISON PER DIEM,DEPT OF CORRECTIONS,1256,1407746742,10,307906583,13.5,9
BORDER SECURITY FENCE AND TECHNOLOGIES,DEPT OF EMERGENCY AND MILITARY AFFAIRS,65,346708553,15,295626306,24.0,18
DDD PREMIUM TAX LTC,DEPT OF ECONOMIC SECURITY,58,284597682,2,275338060,11.2,0
PUBLIC HEALTH EMERGENCIES,DEPT OF HEALTH SERVICES,587,479912187,44,263271808,19.5,49
FEDERAL GRANTS,DEPT OF HEALTH SERVICES,4724,6366633942,22,234581649,16.5,258
NON-HEALTH CARE AOOE,DEPT OF CORRECTIONS,2290,622219131,5,204606400,16.8,76
INTERSTATE 17 EXPANSION,DEPT OF TRANSPORTATION,55,204966245,22,176269528,16.9,2
HEALTH INSURANCE SUBSIDY,ARIZONA STATE RETIREMENT SYSTEM (ASRS),297,175159299,49,175159299,6.0,0
ECDH FUND - NON-APPROPRIATED,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,1784,823822111,4,123089222,15.0,61
HEALTH INSURANCE,ARIZONA STATE RETIREMENT SYSTEM (ASRS),252,120256826,45,115270803,6.0,1
HIGHWAY CONSTRUCTION,DEPT OF TRANSPORTATION,1060,806597842,6,102925066,13.5,128
M-RARF CONSTRUCT FREEWAYS  OTH RT 56-2,DEPT OF TRANSPORTATION,498,499590735,12,99009433,21.0,53
EDUCATION FOR THE DISADVANTAGED,DEPT OF EDUCATION,7749,5139605796,22,95971705,15.0,348
EPD ARPA INITIATIVES,AHCCCS,67,120288979,6,95774868,7.5,11
DPS JOINT FUND,DEPT OF PUBLIC SAFETY,3331,648840402,1,70728604,14.0,113
ACUTE FEDERAL REVENUE AND EXPENSE,AHCCCS,1018,2116137933,18,69136418,9.0,8
ADMN OCCP CLR 4000,DEPT OF ECONOMIC SECURITY,2570,834146210,3,61921204,15.0,51
WATER BANKING AUTHORITY,DEPT OF WATER RESOURCES,62,69591285,13,56480338,26.6,13
DCS NON-APPROPRIATED- OPERATING CLEARING,DEPT OF CHILD SAFETY,547,263386542,7,51280369,9.8,31
ARIZONA STATE HOSPITAL - OPERATING,DEPT OF HEALTH SERVICES,867,231735054,5,40315860,10.5,22
CORONAVIRUS DISEASE 2019,DEPT OF HEALTH SERVICES,103,63139673,3,39892337,16.8,26
DERS OPER NON-APPR,DEPT OF ECONOMIC SECURITY,1415,497532459,3,36507572,10.5,32
