rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
1,2025,2025-02-12,LAND DEPARTMENT,OTHER OPERATING EXPENDITURES,FONDOMONTE ARIZONA LLC,STATE AND LOCAL FISCAL RECOVERY FUNDS,7000000.0000,28.0,"round_1m,sole_source,new_vendor_dominant,new_vendor_large,peer_outlier,offcontract",genuine_review,5,"Fondomonte Arizona LLC is the US subsidiary of Saudi dairy giant Almarai, growing alfalfa on Arizona state land to ship home as cattle feed; its cheap leases and unmetered groundwater pumping drew national scrutiny, an Arizona Auditor General investigation, and lease terminations/non-renewals by Gov. Hobbs in 2023. Public reporting indicates the $7M was a state-law-required reimbursement to Fondomonte for lease improvements."
2,2023,2023-06-29,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12423000.0000,27.0,"whole_dollar,true_duplicate,new_vendor_dominant,new_vendor_large,peer_outlier,no_contract_named,offcontract",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
3,2023,2022-09-26,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FUND,4000000.0000,27.0,"round_1m,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
4,2023,2022-08-29,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FUND,2000000.0000,27.0,"round_1m,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
5,2017,2017-01-31,DEPT OF WATER RESOURCES,OTHER OPERATING EXPENDITURES,"ACTIVE RESOURCE MANAGEMENT, LLC",WATER BANKING AUTHORITY,12500000.0000,26.6,"round_100k,sole_source,vendor_dependency,new_vendor_dominant,new_vendor_large,peer_outlier,offcontract",genuine_review,4,"ACTIVE RESOURCE MANAGEMENT, LLC (ARM) was a water-asset holding company (owned by Vidler Water Company) that sold 50,000 Long Term Storage Credits to the Arizona Water Banking Authority for $12.5M (~$250/credit). Local reporting (Desert Water Grab) characterized it as a private sale to the water bank at a notably high price relative to ARM's underlying acquisition cost."
6,2023,2022-12-15,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,28709669.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
7,2023,2022-11-16,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,21169142.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
8,2023,2023-03-16,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,20483718.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
9,2023,2023-02-15,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,17626340.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
10,2023,2023-02-15,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,ASHBRITT INC,BORDER SECURITY FENCE AND TECHNOLOGIES,16797538.0000,24.0,"whole_dollar,sole_source,vendor_dependency,new_vendor_dominant,short_tenure_vendor,new_vendor_large,peer_outlier",genuine_review,5,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
