vid,payee,hv_exposure,flagged_exposure,n_flagged,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,agencies_served,top_agency,first_year_seen,peak_agency_share,top_markers,verify_verdict,overtaker_interest,recommended_action,public_context
IV0000039519,NAPHCARE INC,1014547850,1014547850,167,88,981916190,76,1,27.0,1,DEPT OF CORRECTIONS,2023,0.20619095209731644,sole_source|whole_dollar|peer_outlier|new_vendor_large|true_duplicate,mixed,4,annotate,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
IV0000034229,PULICE - FNF - FLATIRON JOINT VENTURE,522433764,522433764,101,43,472512963,17,1,11.7,1,DEPT OF TRANSPORTATION,2021,0.03730814380983832,offcontract|no_contract_named|peer_outlier|whole_dollar|new_vendor_large,explained_benign,2,annotate,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
PZ000051407,CONNECT 202 PARTNERS,472783764,361458860,56,21,310225319,5,1,9.1,1,DEPT OF TRANSPORTATION,2016,0.07566356204004547,offcontract|no_contract_named|peer_outlier|whole_dollar,explained_benign,3,annotate,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
IV0000053764,KIEWIT-FANN JOINT VENTURE,384902882,326230169,97,42,260813673,9,1,16.9,1,DEPT OF TRANSPORTATION,2023,0.02768198320143976,offcontract|no_contract_named|new_vendor_large|peer_outlier|whole_dollar,explained_benign,2,annotate,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
IV0000046838,ASHBRITT INC,194730663,194730663,15,15,194730663,0,1,27.0,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,2023,0.35781106201264096,new_vendor_large|peer_outlier|new_vendor_dominant|short_tenure_vendor|sole_source,genuine_review,5,keep,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny."
PZ000001945,SECURITY TITLE AGENCY INC,224852409,224475906,217,24,136584671,77,1,11.7,1,DEPT OF TRANSPORTATION,2016,0.04103311991212885,offcontract|whole_dollar|no_contract_named|peer_outlier|round_100k,explained_benign,2,annotate,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
IV0000002317,FNF CONSTRUCTION INC,663667086,654006880,587,16,77524854,24,1,7.8,1,DEPT OF TRANSPORTATION,2021,0.04541191120792711,offcontract|no_contract_named|whole_dollar|peer_outlier|round_100k,explained_benign,2,downgrade,
IV0000039359,VIZIENT INC,74398854,74398854,29,19,72080770,10,1,12.0,1,DEPT OF HEALTH SERVICES,2021,0.05645062189720416,new_vendor_large|short_tenure_vendor|peer_outlier,explained_benign,2,downgrade,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
IV0000000572,SECURITY TITLE AGENCY INC,142718845,142718845,168,16,71608957,79,1,14.3,1,DEPT OF TRANSPORTATION,2021,0.011855985888014075,offcontract|whole_dollar|no_contract_named|true_duplicate|peer_outlier,explained_benign,2,annotate,"Security Title Agency, Inc. is one of Fidelity National Financial's largest Arizona title brands (50+ years in the state) providing title insurance and escrow/closing services; it has a dedicated escrow manager for ADOT government/right-of-way projects, matching the highway-acquisition disbursements seen in the data."
VC0000069791,GBC PROPERTIES LLC,74457449,74457449,10,5,71182163,1,1,14.3,1,DEPT OF TRANSPORTATION,2024,0.009982407518339018,offcontract|no_contract_named|peer_outlier|whole_dollar,mixed,3,annotate,GBC Properties LLC appears to be an Arizona real-estate/land-holding entity; the payments align with ADOT right-of-way land acquisition for the Maricopa Regional Area Road Fund (RARF) freeway program rather than a service/construction contract.
